part	conc	ntraces	wall_s	t0	t1
claude-opus-4-5__banking_knowledge	64	128	202.8	1780880706.787907357	1780880909.637892463
gemini-3-pro__banking_knowledge	64	128	538.6	1780880909.663435748	1780881448.287311627
gpt-5-2__banking_knowledge	64	128	707.4	1780881448.311625849	1780882155.713092989
qwen3.5-397b-a17b-think__banking_knowledge	64	128	187.1	1780882155.738015992	1780882342.855029365
