part	conc	ntraces	wall_s	t0	t1
claude-opus-4-5__banking_knowledge	64	128	144.5	1780859114.721165195	1780859259.259626528
gemini-3-pro__banking_knowledge	64	128	278.8	1780859259.287723997	1780859538.095989750
gpt-5-2__banking_knowledge	64	128	167.5	1780859538.124686940	1780859705.613553582
qwen3.5-397b-a17b-think__banking_knowledge	64	128	187.2	1780859705.641886976	1780859892.810391771
